611225	=>	56|54|46|44
611232	=>	57|51|50|42
611240	=>	55|55|47|43
611257	=>	56|54|47|43
611281	=>	58|51|46|45
611293	=>	56|52|51|41
611297	=>	55|54|50|41
611330	=>	58|51|47|44
611342	=>	57|53|46|44
611342	=>	57|52|49|42
611345	=>	58|50|49|43
611350	=>	55|55|48|42
611390	=>	57|53|45|45
611396	=>	59|47|47|47
611396	=>	59|48|47|46
611403	=>	56|53|50|41
611420	=>	54|53|53|40
611435	=>	56|54|48|42
611448	=>	57|53|47|43
611455	=>	58|51|48|43
611475	=>	59|48|48|45
611501	=>	54|54|52|40
611504	=>	59|49|46|46
611528	=>	55|53|52|40
611560	=>	57|53|48|42
611566	=>	59|49|47|45
611590	=>	57|51|51|41
611598	=>	55|55|49|41
611605	=>	58|52|45|45
611617	=>	57|52|50|41
611621	=>	56|54|49|41
611632	=>	59|49|48|44
611635	=>	58|50|50|42
611637	=>	58|52|46|44
611638	=>	55|54|51|40
611660	=>	58|51|49|42
611673	=>	58|52|47|43
611676	=>	56|55|45|44
611693	=>	59|50|46|45
611693	=>	56|55|46|43
611717	=>	56|52|52|40
611742	=>	59|50|47|44
611746	=>	56|53|51|40
611778	=>	57|54|45|44
611786	=>	56|55|47|42
611797	=>	57|54|46|43
611810	=>	57|53|49|41
611852	=>	59|49|49|43
611855	=>	58|52|48|42
611856	=>	55|55|50|40
611875	=>	59|50|48|43
611890	=>	57|54|47|42
611935	=>	58|51|50|41
611937	=>	56|54|50|40
611937	=>	54|54|53|39
611951	=>	56|55|48|41
611960	=>	59|51|46|44
611960	=>	57|52|51|40
611984	=>	58|53|45|44
612002	=>	59|51|45|45
612003	=>	58|53|46|43
612014	=>	60|47|47|46
612016	=>	55|53|53|39
612045	=>	58|52|49|41
612047	=>	55|54|52|39
612057	=>	57|54|48|41
612070	=>	57|53|50|40
612072	=>	59|51|47|43
612080	=>	59|50|49|42
612093	=>	60|48|47|45
612100	=>	58|53|47|42
612107	=>	60|48|46|46
612155	=>	56|53|52|39
612186	=>	56|55|49|40
612190	=>	59|51|48|42
612203	=>	60|49|46|45
612233	=>	56|56|45|43
612236	=>	55|55|51|39
612241	=>	60|48|48|44
612262	=>	60|49|47|44
612265	=>	56|54|51|39
612267	=>	58|53|48|41
612284	=>	58|51|51|40
612290	=>	59|52|45|44
612292	=>	57|54|49|40
612305	=>	56|56|44|44
612307	=>	56|56|46|42
612315	=>	59|52|46|43
612318	=>	57|55|44|44
612320	=>	57|55|45|43
612326	=>	57|55|46|42
612363	=>	59|50|50|41
612365	=>	58|52|50|40
612373	=>	57|52|52|39
612387	=>	56|56|47|41
612395	=>	60|49|48|43
612412	=>	59|52|47|42
612421	=>	60|50|45|45
612439	=>	58|54|45|43
612446	=>	59|51|49|41
612452	=>	57|53|51|39
612461	=>	60|50|46|44
612470	=>	57|55|47|41
612487	=>	56|55|50|39
612487	=>	54|54|54|38
612505	=>	60|50|47|43
612506	=>	58|53|49|40
612509	=>	58|54|44|44
612515	=>	58|54|46|42
612520	=>	55|54|53|38
612585	=>	59|52|48|41
612595	=>	57|54|50|39
612597	=>	58|54|47|41
612597	=>	56|56|48|40
612610	=>	60|49|49|42
612622	=>	57|55|48|40
612630	=>	56|53|53|38
612630	=>	55|55|52|38
612695	=>	60|50|48|42
612697	=>	58|52|51|39
612702	=>	60|51|45|44
612707	=>	56|54|52|38
612712	=>	59|51|50|40
612726	=>	59|53|44|44
612727	=>	60|51|46|43
612728	=>	61|47|46|46
612732	=>	59|53|45|43
612742	=>	59|53|46|42
612802	=>	61|47|47|45
612809	=>	58|54|48|40
612809	=>	58|53|50|39
612817	=>	56|56|49|39
612821	=>	61|48|46|45
612824	=>	59|52|49|40
612832	=>	60|51|47|42
612848	=>	57|53|52|38
612852	=>	56|55|51|38
612876	=>	57|56|45|42
612880	=>	61|48|47|44
612887	=>	57|56|44|43
612890	=>	59|53|47|41
612893	=>	60|50|49|41
612896	=>	57|55|49|39
612937	=>	57|56|46|41
612960	=>	57|54|51|38
612980	=>	58|55|45|42
612989	=>	58|55|44|43
612990	=>	61|49|46|44
613005	=>	60|51|48|41
613022	=>	61|49|45|45
613025	=>	61|48|48|43
613031	=>	58|54|49|39
613041	=>	58|55|46|41
613046	=>	59|53|48|40
613055	=>	55|54|54|37
613057	=>	60|52|45|43
613066	=>	57|56|47|40
613100	=>	59|51|51|39
613112	=>	61|49|47|43
613121	=>	60|52|44|44
613130	=>	55|55|53|37
613133	=>	59|52|50|39
613139	=>	60|52|46|42
613143	=>	58|52|52|38
613151	=>	56|56|50|38
613165	=>	56|54|53|37
613172	=>	58|55|47|40
613178	=>	58|53|51|38
613182	=>	57|55|50|38
613186	=>	59|54|45|42
613195	=>	59|54|44|43
613212	=>	61|50|45|44
613221	=>	60|50|50|40
613227	=>	60|52|47|41
613240	=>	61|49|48|42
613247	=>	61|50|46|43
613251	=>	59|54|46|41
613252	=>	60|51|49|40
613261	=>	57|56|48|39
613277	=>	56|55|52|37
613324	=>	59|53|49|39
613350	=>	57|53|53|37
613352	=>	61|50|47|42
613367	=>	58|55|48|39
613367	=>	58|54|50|38
613382	=>	59|54|47|40
613387	=>	57|54|52|37
613445	=>	60|52|48|40
613498	=>	60|53|45|42
613499	=>	56|56|51|37
613501	=>	60|53|44|43
613502	=>	59|52|51|38
613506	=>	61|49|49|41
613518	=>	57|56|49|38
613530	=>	57|57|44|42
613535	=>	62|46|46|46
613535	=>	62|47|46|45
613535	=>	61|50|48|41
613542	=>	61|51|44|44
613556	=>	61|51|45|43
613561	=>	60|51|50|39
613563	=>	60|53|46|41
613570	=>	57|57|45|41
613574	=>	61|51|46|42
613574	=>	57|55|51|37
613581	=>	59|54|48|39
613591	=>	58|56|45|41
613605	=>	58|53|52|37
613608	=>	62|47|47|44
613614	=>	59|53|50|38
613615	=>	58|56|44|42
613616	=>	57|57|46|40
613626	=>	58|55|49|38
613628	=>	57|57|43|43
613643	=>	58|56|43|43
613645	=>	62|48|45|45
613648	=>	55|55|54|36
613673	=>	60|52|49|39
613697	=>	62|48|46|44
613697	=>	58|56|46|40
613700	=>	60|53|47|40
613717	=>	58|54|51|37
613721	=>	56|54|54|36
613730	=>	61|51|47|41
613736	=>	59|55|44|42
613753	=>	62|48|47|43
613760	=>	56|55|53|36
613778	=>	59|55|45|41
613782	=>	61|50|49|40
613784	=>	57|57|47|39
613811	=>	58|56|47|39
613826	=>	59|55|46|40
613830	=>	62|49|45|44
613832	=>	59|55|43|43
613835	=>	57|56|50|37
613840	=>	59|54|49|38
613865	=>	62|49|46|43
613870	=>	57|54|53|36
613894	=>	61|51|48|40
613899	=>	60|53|48|39
613910	=>	61|52|45|42
613913	=>	61|52|44|43
613935	=>	59|52|52|37
613938	=>	60|51|51|38
613943	=>	58|55|50|37
613945	=>	56|56|52|36
613955	=>	62|48|48|42
613962	=>	57|57|48|38
613982	=>	62|49|47|42
613982	=>	57|55|52|36
613983	=>	61|52|46|41
613996	=>	59|55|47|39
614007	=>	60|54|45|41
614010	=>	59|53|51|37
614015	=>	60|52|50|38
614027	=>	60|54|44|42
614039	=>	58|56|48|38
614051	=>	60|54|43|43
614087	=>	62|50|45|43
614092	=>	58|53|53|36
614101	=>	61|50|50|39
614117	=>	60|54|46|40
614120	=>	61|52|47|40
614141	=>	62|50|44|44
614161	=>	59|54|50|37
614164	=>	60|53|49|38
614165	=>	62|49|48|41
614165	=>	58|54|52|36
614176	=>	59|55|48|38
614179	=>	62|50|46|42
614180	=>	61|51|49|39
614208	=>	57|56|51|36
614235	=>	60|54|47|39
614246	=>	57|57|49|37
614256	=>	55|55|55|35
614257	=>	58|57|44|41
614277	=>	62|50|47|41
614279	=>	58|56|49|37
614282	=>	58|57|45|40
614297	=>	56|55|54|35
614300	=>	58|57|43|42
614318	=>	58|55|51|36
614327	=>	61|52|48|39
614354	=>	61|53|44|42
614359	=>	63|46|46|45
614361	=>	59|56|44|41
614371	=>	58|57|46|39
614371	=>	60|52|51|37
614386	=>	59|56|45|40
614402	=>	59|56|43|42
614402	=>	61|53|45|41
614409	=>	57|54|54|35
614409	=>	56|56|53|35
614422	=>	59|53|52|36
614423	=>	62|51|44|43
614424	=>	62|49|49|40
614430	=>	62|51|45|42
614432	=>	63|47|46|44
614444	=>	61|53|43|43
614450	=>	63|47|45|45
614456	=>	61|53|46|40
614462	=>	59|55|49|37
614467	=>	60|54|48|38
614477	=>	59|56|46|39
614478	=>	61|51|50|38
614480	=>	57|55|53|35
614485	=>	60|53|50|37
614503	=>	62|51|46|41
614505	=>	62|50|48|40
614522	=>	58|57|47|38
614536	=>	59|54|51|36
614544	=>	63|48|45|44
614544	=>	57|57|50|36
614567	=>	60|55|44|41
614568	=>	63|47|47|43
